MarketDate,Name,MarketPrice
31/08/2016,Safaricom Ltd Ord 0.05,20
01/09/2016,Safaricom Ltd Ord 0.05,20
02/09/2016,Safaricom Ltd Ord 0.05,19.95
05/09/2016,Safaricom Ltd Ord 0.05,18.4
06/09/2016,Safaricom Ltd Ord 0.05,18.85
07/09/2016,Safaricom Ltd Ord 0.05,19
08/09/2016,Safaricom Ltd Ord 0.05,19
09/09/2016,Safaricom Ltd Ord 0.05,19
13/09/2016,Safaricom Ltd Ord 0.05,19
14/09/2016,Safaricom Ltd Ord 0.05,18.9
15/09/2016,Safaricom Ltd Ord 0.05,18.9
16/09/2016,Safaricom Ltd Ord 0.05,18.9
19/09/2016,Safaricom Ltd Ord 0.05,19
20/09/2016,Safaricom Ltd Ord 0.05,19.15
21/09/2016,Safaricom Ltd Ord 0.05,19.35
22/09/2016,Safaricom Ltd Ord 0.05,19.4
23/09/2016,Safaricom Ltd Ord 0.05,19.4
26/09/2016,Safaricom Ltd Ord 0.05,19.5
27/09/2016,Safaricom Ltd Ord 0.05,19.7
28/09/2016,Safaricom Ltd Ord 0.05,19.95
29/09/2016,Safaricom Ltd Ord 0.05,19.85
30/09/2016,Safaricom Ltd Ord 0.05,19.95
03/10/2016,Safaricom Ltd Ord 0.05,20
04/10/2016,Safaricom Ltd Ord 0.05,20
05/10/2016,Safaricom Ltd Ord 0.05,20
06/10/2016,Safaricom Ltd Ord 0.05,19.95
07/10/2016,Safaricom Ltd Ord 0.05,20.25
10/10/2016,Safaricom Ltd Ord 0.05,20.25
11/10/2016,Safaricom Ltd Ord 0.05,20
12/10/2016,Safaricom Ltd Ord 0.05,19.9
13/10/2016,Safaricom Ltd Ord 0.05,19.95
14/10/2016,Safaricom Ltd Ord 0.05,19.95
17/10/2016,Safaricom Ltd Ord 0.05,19.85
18/10/2016,Safaricom Ltd Ord 0.05,19.75
19/10/2016,Safaricom Ltd Ord 0.05,19.7
21/10/2016,Safaricom Ltd Ord 0.05,19.7
24/10/2016,Safaricom Ltd Ord 0.05,20
25/10/2016,Safaricom Ltd Ord 0.05,20
26/10/2016,Safaricom Ltd Ord 0.05,20
27/10/2016,Safaricom Ltd Ord 0.05,19.95
28/10/2016,Safaricom Ltd Ord 0.05,19.9
31/10/2016,Safaricom Ltd Ord 0.05,19.85
01/11/2016,Safaricom Ltd Ord 0.05,20.25
02/11/2016,Safaricom Ltd Ord 0.05,20.75
03/11/2016,Safaricom Ltd Ord 0.05,21.25
04/11/2016,Safaricom Ltd Ord 0.05,21.25
07/11/2016,Safaricom Ltd Ord 0.05,21
08/11/2016,Safaricom Ltd Ord 0.05,20.75
09/11/2016,Safaricom Ltd Ord 0.05,20.25
10/11/2016,Safaricom Ltd Ord 0.05,20.75
11/11/2016,Safaricom Ltd Ord 0.05,20.75
14/11/2016,Safaricom Ltd Ord 0.05,20.25
15/11/2016,Safaricom Ltd Ord 0.05,20.25
16/11/2016,Safaricom Ltd Ord 0.05,20.5
17/11/2016,Safaricom Ltd Ord 0.05,20.5
18/11/2016,Safaricom Ltd Ord 0.05,20
21/11/2016,Safaricom Ltd Ord 0.05,20
22/11/2016,Safaricom Ltd Ord 0.05,19.95
23/11/2016,Safaricom Ltd Ord 0.05,20
24/11/2016,Safaricom Ltd Ord 0.05,19.95
25/11/2016,Safaricom Ltd Ord 0.05,19.9
28/11/2016,Safaricom Ltd Ord 0.05,19.85
29/11/2016,Safaricom Ltd Ord 0.05,19.85
30/11/2016,Safaricom Ltd Ord 0.05,19.9
01/12/2016,Safaricom Ltd Ord 0.05,20
02/12/2016,Safaricom Ltd Ord 0.05,19.95
05/12/2016,Safaricom Ltd Ord 0.05,19.9
06/12/2016,Safaricom Ltd Ord 0.05,19.8
07/12/2016,Safaricom Ltd Ord 0.05,19.7
08/12/2016,Safaricom Ltd Ord 0.05,19.35
09/12/2016,Safaricom Ltd Ord 0.05,19
13/12/2016,Safaricom Ltd Ord 0.05,18.9
14/12/2016,Safaricom Ltd Ord 0.05,18.9
15/12/2016,Safaricom Ltd Ord 0.05,18.75
16/12/2016,Safaricom Ltd Ord 0.05,18.75
19/12/2016,Safaricom Ltd Ord 0.05,19
20/12/2016,Safaricom Ltd Ord 0.05,19
21/12/2016,Safaricom Ltd Ord 0.05,19
22/12/2016,Safaricom Ltd Ord 0.05,19.45
23/12/2016,Safaricom Ltd Ord 0.05,19.5
28/12/2016,Safaricom Ltd Ord 0.05,19.25
29/12/2016,Safaricom Ltd Ord 0.05,19.05
30/12/2016,Safaricom Ltd Ord 0.05,19.15
03/01/2017,Safaricom Ltd Ord 0.05,19
04/01/2017,Safaricom Ltd Ord 0.05,19
05/01/2017,Safaricom Ltd Ord 0.05,18.8
06/01/2017,Safaricom Ltd Ord 0.05,18.6
